trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
392,False,"{'a': 0.8, 'e': 0.019453434285172513}",25,11,24.22352715750997,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.8, 'e': 0.019258899942320787}",20,14,12.62687610079211,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.8, 'e': 0.01906631094289758}",30,7,20.386733045430205,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
395,False,"{'a': 0.8, 'e': 0.018875647833468602}",25,19,9.269106134436417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.8, 'e': 0.018686891355133916}",25,13,24.848069123215907,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.8, 'e': 0.018500022441582577}",20,13,14.387949881384557,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.8, 'e': 0.01831502221716675}",30,17,18.29397784513038,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.8, 'e': 0.018131871994995084}",20,14,12.89647036094584,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.8, 'e': 0.017950553275045134}",35,15,27.41511438498731,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.8, 'e': 0.017771047742294682}",25,14,24.361996442531705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.8, 'e': 0.017593337264871736}",20,6,23.875382681929267,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.8, 'e': 0.01741740389222302}",30,4,45.03366110942965,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.8, 'e': 0.01724322985330079}",20,6,25.216653003725433,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.8, 'e': 0.017070797554767782}",25,13,22.627465907744664,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.8, 'e': 0.016900089579220106}",25,2,31.55419052821605,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.8, 'e': 0.016731088683427906}",25,12,21.223572616951916,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.8, 'e': 0.016563777796593626}",20,8,22.734074332642464,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.8, 'e': 0.016398140018627688}",20,2,30.07837276012538,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.8, 'e': 0.01623415861844141}",20,8,23.40724138169977,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.8, 'e': 0.016071817032256998}",20,9,25.401842267537244,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.8, 'e': 0.01591109886193443}",20,9,20.251152396904462,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.8, 'e': 0.015751987873315085}",25,15,19.306727050535546,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.8, 'e': 0.015594467994581935}",30,19,17.78113366474228,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.8, 'e': 0.015438523314636115}",30,8,41.43656403308917,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.8, 'e': 0.015284138081489753}",25,15,17.11746686952176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.8, 'e': 0.015131296700674856}",20,9,20.883310634757002,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.8, 'e': 0.014979983733668108}",25,0,36.969056615859536,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
419,False,"{'a': 0.8, 'e': 0.014830183896331426}",20,16,8.004177526744295,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.8, 'e': 0.014681882057368112}",20,6,23.853832967531087,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.8, 'e': 0.01453506323679443}",20,11,15.745746164943302,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.8, 'e': 0.014389712604426485}",20,8,21.00399474418449,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.8, 'e': 0.01424581547838222}",20,11,17.451267786640322,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.8, 'e': 0.014103357323598397}",20,8,23.43401753567593,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.8, 'e': 0.013962323750362413}",25,6,35.00607240139654,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.8, 'e': 0.013822700512858789}",35,24,19.216665167000144,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
